parent	node
	Cellular processes
	Envelope
	Genetic Info processing
	Metabolism
	Regulation
Cellular processes	Cellular processes 2
Cellular processes 2	Adaptations to atypical conditions
Adaptations to atypical conditions	PA0139
Adaptations to atypical conditions	PA0140
Adaptations to atypical conditions	PA0172
Adaptations to atypical conditions	PA0376
Adaptations to atypical conditions	PA0456
Adaptations to atypical conditions	PA0590
Adaptations to atypical conditions	PA0848
Adaptations to atypical conditions	PA0857
Adaptations to atypical conditions	PA0934
Adaptations to atypical conditions	PA0961
Adaptations to atypical conditions	PA1159
Adaptations to atypical conditions	PA1789
Adaptations to atypical conditions	PA2124
Adaptations to atypical conditions	PA2622
Adaptations to atypical conditions	PA2827
Adaptations to atypical conditions	PA2830
Adaptations to atypical conditions	PA3017
Adaptations to atypical conditions	PA3126
Adaptations to atypical conditions	PA3266
Adaptations to atypical conditions	PA3529
Adaptations to atypical conditions	PA3622
Adaptations to atypical conditions	PA3625
Adaptations to atypical conditions	PA3710
Adaptations to atypical conditions	PA4100
Adaptations to atypical conditions	PA4328
Adaptations to atypical conditions	PA4352
Adaptations to atypical conditions	PA4427
Adaptations to atypical conditions	PA4428
Adaptations to atypical conditions	PA4614
Adaptations to atypical conditions	PA4760
Adaptations to atypical conditions	PA5018
Adaptations to atypical conditions	PA5077
Adaptations to atypical conditions	PA5078
Adaptations to atypical conditions	PA5117
Adaptations to atypical conditions	PA5285
Adaptations to atypical conditions	PA5338
Adaptations to atypical conditions	PA5344
Adaptations to atypical conditions	PA5372
Adaptations to atypical conditions	PA5373
Cellular processes 2	Cell division
Cell division	PA0374
Cell division	PA0375
Cell division	PA1413
Cell division	PA1527
Cell division	PA1528
Cell division	PA2353
Cell division	PA2615
Cell division	PA2972
Cell division	PA3008
Cell division	PA3197
Cell division	PA3201
Cell division	PA3243
Cell division	PA3244
Cell division	PA3245
Cell division	PA3634
Cell division	PA4002
Cell division	PA4407
Cell division	PA4408
Cell division	PA4409
Cell division	PA4413
Cell division	PA4419
Cell division	PA4421
Cell division	PA4438
Cell division	PA4478
Cell division	PA4751
Cell division	PA4752
Cell division	PA5226
Cell division	PA5227
Cell division	PA5406
Cell division	PA5407
Cellular processes 2	Chemotaxis and motility
Chemotaxis and motility	PA0026
Chemotaxis and motility	PA0173
Chemotaxis and motility	PA0174
Chemotaxis and motility	PA0175
Chemotaxis and motility	PA0176
Chemotaxis and motility	PA0177
Chemotaxis and motility	PA0178
Chemotaxis and motility	PA0179
Chemotaxis and motility	PA0180
Chemotaxis and motility	PA0395
Chemotaxis and motility	PA0396
Chemotaxis and motility	PA0408
Chemotaxis and motility	PA0409
Chemotaxis and motility	PA0410
Chemotaxis and motility	PA0411
Chemotaxis and motility	PA1077
Chemotaxis and motility	PA1078
Chemotaxis and motility	PA1079
Chemotaxis and motility	PA1080
Chemotaxis and motility	PA1081
Chemotaxis and motility	PA1082
Chemotaxis and motility	PA1083
Chemotaxis and motility	PA1084
Chemotaxis and motility	PA1085
Chemotaxis and motility	PA1086
Chemotaxis and motility	PA1100
Chemotaxis and motility	PA1101
Chemotaxis and motility	PA1102
Chemotaxis and motility	PA1103
Chemotaxis and motility	PA1104
Chemotaxis and motility	PA1105
Chemotaxis and motility	PA1242
Chemotaxis and motility	PA1251
Chemotaxis and motility	PA1441
Chemotaxis and motility	PA1442
Chemotaxis and motility	PA1443
Chemotaxis and motility	PA1444
Chemotaxis and motility	PA1445
Chemotaxis and motility	PA1446
Chemotaxis and motility	PA1447
Chemotaxis and motility	PA1448
Chemotaxis and motility	PA1449
Chemotaxis and motility	PA1452
Chemotaxis and motility	PA1453
Chemotaxis and motility	PA1454
Chemotaxis and motility	PA1457
Chemotaxis and motility	PA1458
Chemotaxis and motility	PA1459
Chemotaxis and motility	PA1460
Chemotaxis and motility	PA1461
Chemotaxis and motility	PA1464
Chemotaxis and motility	PA1473
Chemotaxis and motility	PA1608
Chemotaxis and motility	PA1646
Chemotaxis and motility	PA1853
Chemotaxis and motility	PA2561
Chemotaxis and motility	PA2573
Chemotaxis and motility	PA2652
Chemotaxis and motility	PA2654
Chemotaxis and motility	PA2780
Chemotaxis and motility	PA2788
Chemotaxis and motility	PA2867
Chemotaxis and motility	PA2895
Chemotaxis and motility	PA2896
Chemotaxis and motility	PA2920
Chemotaxis and motility	PA3348
Chemotaxis and motility	PA3349
Chemotaxis and motility	PA3350
Chemotaxis and motility	PA3351
Chemotaxis and motility	PA3352
Chemotaxis and motility	PA3353
Chemotaxis and motility	PA3526
Chemotaxis and motility	PA3670
Chemotaxis and motility	PA3671
Chemotaxis and motility	PA3672
Chemotaxis and motility	PA3703
Chemotaxis and motility	PA3704
Chemotaxis and motility	PA3705
Chemotaxis and motility	PA3706
Chemotaxis and motility	PA3707
Chemotaxis and motility	PA3708
Chemotaxis and motility	PA4037
Chemotaxis and motility	PA4038
Chemotaxis and motility	PA4039
Chemotaxis and motility	PA4117
Chemotaxis and motility	PA4290
