Name	Meta	main_role	sub_role	Function	locus_tag
ahpC	Cellular processes	Cellular processes 2	Adaptations to atypical conditions	alkyl hydroperoxide reductase subunit C	PA0139
ahpF	Cellular processes	Cellular processes 2	Adaptations to atypical conditions	alkyl hydroperoxide reductase subunit F	PA0140
siaA	Cellular processes	Cellular processes 2	Adaptations to atypical conditions	SiaA	PA0172
rpoH	Cellular processes	Cellular processes 2	Adaptations to atypical conditions	sigma factor RpoH	PA0376
	Cellular processes	Cellular processes 2	Adaptations to atypical conditions	probable cold-shock protein	PA0456
apaH	Cellular processes	Cellular processes 2	Adaptations to atypical conditions	bis(5'-nucleosyl)-tetraphosphatase	PA0590
ahpB	Cellular processes	Cellular processes 2	Adaptations to atypical conditions	alkyl hydroperoxide reductase  AhpB	PA0848
bolA	Cellular processes	Cellular processes 2	Adaptations to atypical conditions	morphogene protein BolA	PA0857
relA	Cellular processes	Cellular processes 2	Adaptations to atypical conditions	GTP pyrophosphokinase	PA0934
	Cellular processes	Cellular processes 2	Adaptations to atypical conditions	probable cold-shock protein	PA0961
	Cellular processes	Cellular processes 2	Adaptations to atypical conditions	probable cold-shock protein	PA1159
	Cellular processes	Cellular processes 2	Adaptations to atypical conditions	hypothetical protein	PA1789
	Cellular processes	Cellular processes 2	Adaptations to atypical conditions	probable dehydrogenase	PA2124
cspD	Cellular processes	Cellular processes 2	Adaptations to atypical conditions	cold-shock protein CspD	PA2622
	Cellular processes	Cellular processes 2	Adaptations to atypical conditions	conserved hypothetical protein	PA2827
htpX	Cellular processes	Cellular processes 2	Adaptations to atypical conditions	heat shock protein HtpX	PA2830
	Cellular processes	Cellular processes 2	Adaptations to atypical conditions	conserved hypothetical protein	PA3017
ibpA	Cellular processes	Cellular processes 2	Adaptations to atypical conditions	heat-shock protein IbpA	PA3126
capB	Cellular processes	Cellular processes 2	Adaptations to atypical conditions	cold acclimation protein B	PA3266
	Cellular processes	Cellular processes 2	Adaptations to atypical conditions	alkylhydroperoxide reductase C	PA3529
rpoS	Cellular processes	Cellular processes 2	Adaptations to atypical conditions	sigma factor RpoS	PA3622
surE	Cellular processes	Cellular processes 2	Adaptations to atypical conditions	survival protein SurE	PA3625
	Cellular processes	Cellular processes 2	Adaptations to atypical conditions	probable GMC-type oxidoreductase	PA3710
	Cellular processes	Cellular processes 2	Adaptations to atypical conditions	probable dehydrogenase	PA4100
	Cellular processes	Cellular processes 2	Adaptations to atypical conditions	hypothetical protein	PA4328
	Cellular processes	Cellular processes 2	Adaptations to atypical conditions	conserved hypothetical protein	PA4352
sspB	Cellular processes	Cellular processes 2	Adaptations to atypical conditions	stringent starvation protein B	PA4427
sspA	Cellular processes	Cellular processes 2	Adaptations to atypical conditions	stringent starvation protein A	PA4428
mscL	Cellular processes	Cellular processes 2	Adaptations to atypical conditions	conductance mechanosensitive channel	PA4614
dnaJ	Cellular processes	Cellular processes 2	Adaptations to atypical conditions	DnaJ protein	PA4760
msrA	Cellular processes	Cellular processes 2	Adaptations to atypical conditions	peptide methionine sulfoxide reductase	PA5018
opgH	Cellular processes	Cellular processes 2	Adaptations to atypical conditions	OpgH	PA5077
opgG	Cellular processes	Cellular processes 2	Adaptations to atypical conditions	OpgG	PA5078
typA	Cellular processes	Cellular processes 2	Adaptations to atypical conditions	regulatory protein TypA	PA5117
sutA	Cellular processes	Cellular processes 2	Adaptations to atypical conditions	SutA	PA5285
spoT	Cellular processes	Cellular processes 2	Adaptations to atypical conditions	guanosine-3'5'-bis(diphosphate) 3'-pyrophosphohydrolase	PA5338
oxyR	Cellular processes	Cellular processes 2	Adaptations to atypical conditions	OxyR	PA5344
betA	Cellular processes	Cellular processes 2	Adaptations to atypical conditions	choline dehydrogenase	PA5372
betB	Cellular processes	Cellular processes 2	Adaptations to atypical conditions	betaine aldehyde dehydrogenase	PA5373
ftsE	Cellular processes	Cellular processes 2	Cell division	cell division protein FtsE	PA0374
ftsX	Cellular processes	Cellular processes 2	Cell division	cell division protein FtsX	PA0375
	Cellular processes	Cellular processes 2	Cell division	probable transcriptional regulator	PA1413
	Cellular processes	Cellular processes 2	Cell division	conserved hypothetical protein	PA1527
zipA	Cellular processes	Cellular processes 2	Cell division	cell division protein ZipA	PA1528
	Cellular processes	Cellular processes 2	Cell division	conserved hypothetical protein	PA2353
ftsK	Cellular processes	Cellular processes 2	Cell division	cell division protein FtsK	PA2615
	Cellular processes	Cellular processes 2	Cell division	conserved hypothetical protein	PA2972
sulA	Cellular processes	Cellular processes 2	Cell division	SulA	PA3008
	Cellular processes	Cellular processes 2	Cell division	hypothetical protein	PA3197
	Cellular processes	Cellular processes 2	Cell division	conserved hypothetical protein	PA3201
